Amount in Euro,Date,From Account,From Label,From Sender,To Account,To Label,To Recipient
9449.78,"Sun, 20 Aug 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,123 Services (A002),123 Services
9235.3,"Thu, 16 Mar 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
7975.88,"Wed, 13 Sep 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
7208.82,"Sat, 29 Jul 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
9173.42,"Sat, 11 Nov 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,XYZ Corp (A002),XYZ Corp
8209.98,"Fri, 22 Dec 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,123 Services (A002),123 Services
7818.87,"Sat, 21 Jan 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
9743.2,"Mon, 30 Jan 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
9547.79,"Wed, 11 Oct 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,XYZ Corp (A002),XYZ Corp
5861.72,"Sat, 15 Jul 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
5165.18,"Mon, 22 May 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
9990.64,"Mon, 02 Jan 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
7494.15,"Thu, 01 Jun 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,123 Services (A002),123 Services
6275.44,"Sat, 08 Apr 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
7035.55,"Fri, 23 Jun 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,Global Traders (A002),Global Traders
8490.12,"Fri, 15 Sep 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
5493.37,"Wed, 13 Dec 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,XYZ Corp (A002),XYZ Corp
6897.59,"Fri, 17 Mar 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
9835.75,"Thu, 28 Sep 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,123 Services (A002),123 Services
6219.48,"Tue, 30 May 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,123 Services (A002),123 Services
6811.36,"Fri, 17 Feb 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
8692.46,"Tue, 13 Jun 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,123 Services (A002),123 Services
9353.63,"Wed, 15 Nov 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,ABC Inc (A002),ABC Inc
9896.48,"Sun, 13 Aug 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Tech Solutions (A002),Tech Solutions
8617.37,"Wed, 29 Mar 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
6585.26,"Wed, 18 Oct 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,123 Services (A002),123 Services
9433.91,"Tue, 10 Jan 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,ABC Inc (A002),ABC Inc
6422.1,"Sun, 09 Apr 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,XYZ Corp (A002),XYZ Corp
6247.8,"Sun, 14 May 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
7987.71,"Sun, 15 Oct 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
5017.17,"Tue, 07 Feb 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,123 Services (A002),123 Services
9616.38,"Sun, 04 Jun 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,XYZ Corp (A002),XYZ Corp
7927.35,"Sat, 19 Aug 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,123 Services (A002),123 Services
5613.69,"Tue, 04 Jul 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
6882.15,"Thu, 16 Nov 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,ABC Inc (A002),ABC Inc
9411.38,"Wed, 20 Sep 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Global Traders (A002),Global Traders
6909.01,"Sun, 12 Feb 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,123 Services (A002),123 Services
9416.78,"Thu, 23 Nov 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,ABC Inc (A002),ABC Inc
9794.19,"Fri, 24 Feb 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
6769.84,"Wed, 26 Jul 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
6220.41,"Sun, 09 Apr 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
6921.02,"Thu, 21 Sep 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,ABC Inc (A002),ABC Inc
8260.05,"Thu, 23 Nov 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,Tech Solutions (A002),Tech Solutions
8135.37,"Sun, 10 Dec 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,Tech Solutions (A002),Tech Solutions
8032.3,"Tue, 17 Oct 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,123 Services (A002),123 Services
7917.49,"Fri, 22 Dec 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
6166.24,"Thu, 20 Apr 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,Global Traders (A002),Global Traders
8112.06,"Tue, 10 Jan 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
5560.91,"Tue, 14 Nov 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,Tech Solutions (A002),Tech Solutions
9505.95,"Tue, 07 Nov 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,XYZ Corp (A002),XYZ Corp
9587.84,"Fri, 10 Nov 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Global Traders (A002),Global Traders
6320.27,"Sat, 23 Sep 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
7955.72,"Mon, 19 Jun 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Global Traders (A002),Global Traders
